
"e1121f50-c6e0-012f-1ebd-58d385a7bc34",40202,"Cuba and Porto Rico : with the other islands of the West Indies : their topography, climate, flora, products, industries, cities, people, political conditions, etc.","","Hill, Robert Thomas, 1858-1941","1899",1899,"","English","","","West Indies, British","","","","","still image","Books | Photographs | Illustrations","b11722290","","Sc Rare 917.29-H (Hill, Robert Thomas. Cuba and Porto Rico)","","","","","","NYPGR4218052-B","xxx, 447 p., [86] leaves of plates : ill., maps, ports. ; 24 cm.","","Century","New York",38,"http://digitalcollections.nypl.org/collections/e1121f50-c6e0-012f-1ebd-58d385a7bc34"
"028e9e60-c6e1-012f-0876-58d385a7bc34",40206,"Sir Leslie Stephen collection of papers","","Stephen, Leslie, 1832-1904 | Woolf, Virginia, 1882-1941 | Bell, Vanessa, 1879-1961",1859,1859,1939,"English","This is a synthetic collection consisting of manuscripts, correspondence, a notebook for 1903 and 1904, and portraits.","Biographical or Historical Data Note: Sir Leslie Stephen, the father of Virginia Woolf and Vanessa Bell, was an English literary editor, literary critic, essayist, and biographer.","","Woolf, Virginia, 1882-1941 | Bell, Vanessa, 1879-1961 | Stephen, Leslie, 1832-1904","","","","text","Manuscripts | Documents | Correspondence | notebooks","b15974102","","Berg Coll MSS Stephen","","","","","","NYPW04-A214","","","","",4,"http://digitalcollections.nypl.org/collections/028e9e60-c6e1-012f-0876-58d385a7bc34"
"0ebcaa80-c6e1-012f-b037-58d385a7bc34",40208,"Lower Egypt, Thebes and the Pyramids.","Lower Egypt, Thebes and the Pyramids.","","1862",1862,"","","","Statement of Responsibility Note: F. Frith.","","","Egypt","","","still image","Photographs","b10738787","","MFZ++ (Frith) 82-690","","","","","","NYPG82-B21420","73 leaves : ill. ; 45 cm.","Albumen prints","W. Mackenzie","London",39,"http://digitalcollections.nypl.org/collections/0ebcaa80-c6e1-012f-b037-58d385a7bc34"
"4d10b770-c6e1-012f-4967-58d385a7bc34",40215,"Sinai and Palestine.","","Frith, Francis","1862",1862,"","English","","Statement of Responsibility Note: Francis Frith.","","","Middle East","","","still image","Photographs","b12578953","","MFZ++ (Frith) 96-16113","","","","","","4128112","1 v. (unpaged) mounted plates. 45 cm.","Albumen prints","W. Mackenzie","London",40,"http://digitalcollections.nypl.org/collections/4d10b770-c6e1-012f-4967-58d385a7bc34"
"62942b70-c6e1-012f-8ed4-58d385a7bc34",40216,"Working with the hands: being a sequel to ""Up from slavery"" covering the author's experiences in industrial training at Tuskegee","","Washington, Booker T., 1856-1915 | Johnston, Frances Benjamin, 1864-1952 | Tuskegee Institute","1904",1904,"","English","","","African Americans","Tuskegee Institute","Alabama","","","still image","Books | Illustrated books","b11793287","","Sc B-Washington, B. (Washington, B. Working with the hands)","","","","","","NYPGR422662-B","x, 246 p., 31 leaves of plates : port. ; 21 cm.","Photomechanical prints","Doubleday, Page & Co.","New York",40,"http://digitalcollections.nypl.org/collections/62942b70-c6e1-012f-8ed4-58d385a7bc34"
"87a65670-c6e2-012f-3d46-3c075448cc4b",40219,"Album of photographs of Burma, India and Egypt.","Album of photographs of Burma, India and Egypt.","","ca. 1889, some photographs later",1889,"","","","General Note: Titles are taken from the captions written in pen below the photographs, unless otherwise stated","","","","","","still image","","b12535910","","MFY+ 93-6326","","","","","","NYPG93-F282","1 album (68 photographic prints) : 62 albumen, 6 silver gelatin, b ; 28 x 22 cm. or smaller in album approx. 31 x 41 cm.","","","",62,"http://digitalcollections.nypl.org/collections/87a65670-c6e2-012f-3d46-3c075448cc4b"
"553e4ee0-c6e4-012f-fcbc-3c075448cc4b",40222,"Voyage d'exploration a la mer Morte, a Petra, et sur la rive gauche du Jourdain : Atlas.","","Vogüé, Melchior, marquis de (1829-1916)","pref. 1874",1874,"","","","Statement of Responsibility Note: M. de duc de Luynes.","","","","","","still image | cartographic","Books | Illustrations | Photogravures | Lithographs | Maps","b13858569","","*PWC+ (Luynes, H. T. P. J. D. Voyage d'exploration a mer Morte)","","","","","","40076762","3 v. illus., plates, maps. 36 cm. + atlas.","","A. Bertrand","Paris",84,"http://digitalcollections.nypl.org/collections/553e4ee0-c6e4-012f-fcbc-3c075448cc4b"
"84fe2cd0-c6e4-012f-1676-3c075448cc4b",40223,"La plante et ses applications ornementales","","Grasset, Eugène (1841-1917)","c. 1896",1896,"","","","General Note: sous la direction de M. Eugène Grasset","Decoration and ornament | Plant forms","","","","","still image","","b13983741","","MLM++ (Grasset, E. Plante et ses applications ornementales)","","","","","","","72 pl. F. [bound in two volumes, pages 43 x 29 cm.]","","Lévy, E.","Paris",74,"http://digitalcollections.nypl.org/collections/84fe2cd0-c6e4-012f-1676-3c075448cc4b"
"2516e470-c6e5-012f-9195-58d385a7bc34",40224,"Commercial posters","","",1895,1895,1917,"","","","","","","","","still image","Posters","b15595757","","","","","","","","","1 v., 75 cm.","","","",1,"http://digitalcollections.nypl.org/collections/2516e470-c6e5-012f-9195-58d385a7bc34"
"68423d40-c6e5-012f-9ce1-58d385a7bc34",40226,"Voyage de l'Arabie Pétrée par Léon de Laborde et Linant.","","Laborde, Léon, marquis de (1807-1869)","1830",1830,"","","","General Note: [Linant de Bellefonds, L.-M.-A. (Louis Maurice Adolphe), 1799-1883]","","","","","","still image","Lithographs","b14312681","","*OFW+++ (Laborde L. de. Voyage de l'Arabie Petree)","","","","","","5749129","4 p. l., 87 [1] p. 1 l. illus. Plates, maps, plans. 56 cm.","","Girard","Paris",74,"http://digitalcollections.nypl.org/collections/68423d40-c6e5-012f-9ce1-58d385a7bc34"
