"UUID","Database ID","Title","Alternative Title","Contributor","Date","Date Start","Date End","Language","Description","Note","Subject Topical","Subject Name","Subject Geographic","Subject Temporal","Subject Title","Resource Type","Genre","Identifier BNumber","Identifier Accession Number","Identifier Call Number","Identifier ISBN","Identifier ISSN","Identifier Interview ID","Identifier Postcard ID","Identifier LCCN","Identifier OCLC/RLIN","Physical Description Extent","Physical Description Form","Publisher","Place Of Publication","Number of Items","Digital Collections URL"
"7cf43260-a5b8-0132-dcbb-58d385a7b928",41820,"George Chalmers collection","","Chalmers, George, 1742-1825",1606,1606,1817,"English","George Chalmers (1742-1825) was a British historian, civil servant, and author. He was a lawyer in Baltimore until the American Revolutionary War. After he returned to England, his positions included chief clerk at the Office for Trade in London and colonial agent for the Bahamas. He wrote biographies, poetry and pamphlets on the American colonies and collected a large library of books and manuscripts. The George Chalmers collection, dated 1606-1817, consists of documents relating to the American colonies, writings, and correspondence. Documents include materials on Canada, the Carolinas, Connecticut, Georgia, Maryland, New York, Pennsylvania, Rhode Island, Virginia, West Florida, and Indians in North America. Also included are notes for a history of the revolt of the colonies, introductory volume about America under George II, and related materials.","Ownership and Custodial History Note: This collection was originally part of the library of George Chalmers. When Chalmers died in 1825, the library was inherited by his nephew, James Chalmers, and kept intact until his death in 1841. James Chalmers' sister then sold the original Chalmers library to Messrs. Evans, dealers in London. A large portion was purchased by London bookseller Thomas Thorpe, and Colonel Thomas Aspinwall purchased a number of volumes pertaining to the American colonies from him in 1843. Samuel L. M. Barlow later purchased the Aspinwall volumes, which were purchased by the Lenox Library in 1890 after Barlow's death. The remainder of the volumes were purchased from the estate of George Bancroft in 1893.","History | Colonies | Indians of North America","","Canada | Connecticut | Florida | Georgia | Great Britain | America | Maryland | New York (State) | North Carolina | Nova Scotia | Pennsylvania | Rhode Island | South Carolina | United States | Virginia","1763-1867 | To 1763 (New France) | Colonial period, ca. 1600-1775 | To 1763","","text","Documents","b11822957","","MssCol 507","","","","","","NYPW93-A180","4.01 linear feet (2 boxes, 27 volumes, 2 oversized folders)","","","",9,"http://digitalcollections.nypl.org/collections/7cf43260-a5b8-0132-dcbb-58d385a7b928"
"d446b300-ab05-0132-bbd9-58d385a7b928",41831,"Vogue pattern book","International Vogue pattern book","",1925,1925,1972,"English","","Source Note: Title varies: Oct. 1925-July, 1927, Vogue fashion bi-monthly; Vogue pattern book international, Feb/Mar. 1969-Apr/May, 1970; International Vogue pattern book, Feb./Mar. 1968-Dec. 1968/Jan. 1969, Jun./Jul. 1970-Dec. 1971/Jan. 1972.","Dressmaking | Periodicals | Patterns (Design elements)","","","","","still image | text","Periodicals | Illustrated periodicals","b10256668","","N-10 93","","","","","","","illus. 29-23 cm.","","The Condé Nast Publications","Greenwich, Conn",1,"http://digitalcollections.nypl.org/collections/d446b300-ab05-0132-bbd9-58d385a7b928"
"298cc4a0-ab0c-0132-8959-58d385a7bbd0",41833,"McCall pattern book","","",1913,1913,1958,"English","","Note: Vol. for 1928 includes separately paged supplment called McCall needlework and decorative arts.","Dressmaking | Patterns | Fashion | Periodicals","","","","","still image","Periodicals | Periodical illustrations","b11651185","","VSA+ (McCall fashion book)","","","","","","","v. ill. 28-35 cm.","","McCall Co.","New York",2,"http://digitalcollections.nypl.org/collections/298cc4a0-ab0c-0132-8959-58d385a7bbd0"
"836c3800-ab18-0132-5924-58d385a7bbd0",41834,"Ritratto Di Roma Moderna: All'Eminentiss. e Reuerendiss. Sig.re il Sig. Card: Antonio Barberino","","Totti, Pompilio","1638",1638,"","Italian","","General Note: Illustrations: Engraved t. p., signed CL, with arms of the dedicatee and allegories of Rome, and 81 nearly full-page engravings, some signed CL or SV; one full-page and numerous small woodcuts (coins, medallions, etc.). Many are repeated from Totti's Ritratto di Roma antica, 1627, 1633.","Engraving, Italian | Specimens | Wood-engraving, Italian | Guidebooks","","Rome (Italy)","17th century","","text","Guidebooks","b10675871","","Spencer Coll. Ital. 1638 80-189","","","","","","","[28], 531, [1] p. illus. 17 cm.","","per il Mascardi, Ad Instanza di Pompilio Totti","In Roma",1,"http://digitalcollections.nypl.org/collections/836c3800-ab18-0132-5924-58d385a7bbd0"
"ff2a6380-abdd-0132-e541-58d385a7bbd0",41836,"Albrecht Dürer: prints","","Dürer, Albrecht, 1471-1528",1496,1496,1523,"","","","","","","","","still image","Prints","","","MEOG","","","","","","","","","","",1,"http://digitalcollections.nypl.org/collections/ff2a6380-abdd-0132-e541-58d385a7bbd0"
"93c237c0-b148-0132-fb84-58d385a7bbd0",41840,"Josephine Butler collection of music covers","","","","","","","","","","","","","","","","b19758821","","*MGZFX Mus 1-26","","","","","","","","","","",1,"http://digitalcollections.nypl.org/collections/93c237c0-b148-0132-fb84-58d385a7bbd0"
"1a958590-b173-0132-b1d5-58d385a7b928",41844,"Rembrandt van Rijn: prints","","Rembrandt Harmenszoon van Rijn, 1606-1669",1628,1628,1658,"","","","","","","","","still image","Prints","","","MEYK","","","","","","","","","","",3,"http://digitalcollections.nypl.org/collections/1a958590-b173-0132-b1d5-58d385a7b928"
"2bcf3c80-b557-0132-927d-58d385a7b928",41849,"Commercium epistolicum D. Johannis Collins: et aliorum, de analysi promota, jussu Societatis Regiæ in lucem editum: et jam unà cum ejusdem recensione præmissa, & judicio primarii, ut ferebatur, mathematice subjuncto, iterum impressum","","Collins, John, 1625-1683 | Royal Society (Great Britain)","1722",1722,"","Latin","","","","","","","","text","","b13741662","","OEG (Collins, J. Commercium Epistolicum, de Analysi promota)","","","","","","","[viii], 251 p. 20 cm.","","Mack-Euen","Londini",1,"http://digitalcollections.nypl.org/collections/2bcf3c80-b557-0132-927d-58d385a7b928"
"3ed90a70-b55d-0132-b90f-58d385a7b928",41850,"Pierre Bonnard: prints","","Bonnard, Pierre, 1867-1947",1893,1893,1925,"","","","","","","","","still image","Prints","","","MEST","","","","","","","","Lithographs","","",2,"http://digitalcollections.nypl.org/collections/3ed90a70-b55d-0132-b90f-58d385a7b928"
"6ce49910-b923-0132-977d-58d385a7b928",41853,"The Orcharde of Syon, in the whiche is conteyned the revelacyons of seynt Katheryne of Sene, with ghostly fruytes & precyous plantes for the helthe of mannes soul","The Orcharde of Syon, in the whiche is conteyned the revelacyons of seynt Katheryne of Sene, with ghostly fruytes & precyous plantes for the helthe of mannes soul","Catherine, of Siena, Saint, 1347-1380 | Worde, Wynkyn de, d. 1534?","1519-09-28",1519,"","English, Middle (1100-1500)","","","Revelation | Christianity","","","","","text | still image","Religious books | Early printed books","","","Spencer Coll. Eng. 1519","","","","","","","175 leaves; Overall: 27.8 x 20 x 3.5 cm (10 15/16 x 7 7/8 x 1 3/8 in.)","","Wynkyn de Worde","London?",1,"http://digitalcollections.nypl.org/collections/6ce49910-b923-0132-977d-58d385a7b928"
